nohup: ignoring input
device=cuda
Using the latest cached version of the dataset since wikitext couldn't be found on the Hugging Face Hub
Found the latest cached dataset configuration 'wikitext-2-raw-v1' at /home/enzeyu/.cache/huggingface/datasets/wikitext/wikitext-2-raw-v1/0.0.0/b08601e04326c79dfdd32d625aee71d232d685c3 (last modified on Sat May  9 08:55:42 2026).
model_backend=mdlm
pretrained_edge_loaded=True
edge_model_status=loaded pretrained edge MDLM from /mnt/data/enzeyu/hf_downloads/models/mdlm-no_flashattn-fp32-owt via HF_ENDPOINT=https://hf-mirror.com/; MDLM custom vocab_embed already matches vocab_size=50258; patched flash-attn rotary kernel
edge_model_is_toy=False
step=16100 loss=16.2804 edge_loss=1.7973 device_loss=9.0500 align=239.7161 acc=0.6645 step_time=0.132s gpu_mem=5915.5MB
step=16200 loss=16.8111 edge_loss=1.8250 device_loss=9.0943 align=248.9025 acc=0.6556 step_time=0.132s gpu_mem=5915.5MB
step=16300 loss=15.6676 edge_loss=1.6519 device_loss=8.0209 align=235.3605 acc=0.6689 step_time=0.133s gpu_mem=5915.5MB
step=16400 loss=15.0423 edge_loss=1.7442 device_loss=7.0950 align=225.7916 acc=0.6715 step_time=0.131s gpu_mem=5915.5MB
step=16500 loss=15.7990 edge_loss=1.4433 device_loss=7.7169 align=242.8233 acc=0.6726 step_time=0.133s gpu_mem=5915.5MB
step=16600 loss=16.0755 edge_loss=1.4889 device_loss=7.4414 align=249.1175 acc=0.6478 step_time=0.134s gpu_mem=5915.5MB
step=16700 loss=15.5764 edge_loss=1.0492 device_loss=8.3117 align=243.4131 acc=0.7761 step_time=0.133s gpu_mem=5915.5MB
step=16800 loss=15.7927 edge_loss=1.8554 device_loss=8.3679 align=232.4805 acc=0.6500 step_time=0.134s gpu_mem=5915.5MB
step=16900 loss=15.3459 edge_loss=1.7416 device_loss=8.3209 align=225.4743 acc=0.6040 step_time=0.134s gpu_mem=5915.5MB
step=17000 loss=15.2130 edge_loss=1.5951 device_loss=7.7580 align=228.0230 acc=0.6974 step_time=0.131s gpu_mem=5915.5MB
step=17100 loss=16.0793 edge_loss=1.5544 device_loss=8.0117 align=244.9666 acc=0.6938 step_time=0.133s gpu_mem=5915.5MB
step=17200 loss=15.2985 edge_loss=1.4658 device_loss=8.4483 align=228.9744 acc=0.6829 step_time=0.133s gpu_mem=5915.5MB
